global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	output_filename	status	return_code
66	1	24	2	10	8192	64	helper	47185920	64	sequential	1	5	1	11415714844060745305	ookay_inclusionpolicy_trial001_exec0024_series02_plot0010_target0000008192_helper_pressure000047185920_helper005_seed11415714844060745305.tsv.gz	complete	0
67	1	25	6	32	65536	64	helper	62914560	64	sequential	1	5	1	1202734201606164313	ookay_inclusionpolicy_trial001_exec0025_series06_plot0032_target0000065536_helper_pressure000062914560_helper005_seed01202734201606164313.tsv.gz	complete	0
68	1	26	6	28	65536	64	helper	23592960	64	sequential	1	5	1	6214932751659975327	ookay_inclusionpolicy_trial001_exec0026_series06_plot0028_target0000065536_helper_pressure000023592960_helper005_seed06214932751659975327.tsv.gz	complete	0
69	1	27	6	27	65536	64	helper	15728640	64	sequential	1	5	1	6626828751311177420	ookay_inclusionpolicy_trial001_exec0027_series06_plot0027_target0000065536_helper_pressure000015728640_helper005_seed06626828751311177420.tsv.gz	complete	0
70	1	28	1	4	8192	64	self	62914560	64	sequential	1	-1	1	16180174333321321234	ookay_inclusionpolicy_trial001_exec0028_series01_plot0004_target0000008192_self_pressure000062914560_helper999_seed16180174333321321234.tsv.gz	complete	0
71	1	29	2	11	8192	64	helper	62914560	64	sequential	1	5	1	15997795921708113169	ookay_inclusionpolicy_trial001_exec0029_series02_plot0011_target0000008192_helper_pressure000062914560_helper005_seed15997795921708113169.tsv.gz	complete	0
72	1	30	2	7	8192	64	helper	23592960	64	sequential	1	5	1	6737355756448699410	ookay_inclusionpolicy_trial001_exec0030_series02_plot0007_target0000008192_helper_pressure000023592960_helper005_seed06737355756448699410.tsv.gz	complete	0
73	1	31	3	19	8192	64	helper	62914560	64	sequential	1	6	1	17021108278388553721	ookay_inclusionpolicy_trial001_exec0031_series03_plot0019_target0000008192_helper_pressure000062914560_helper006_seed17021108278388553721.tsv.gz	complete	0
74	1	32	3	13	8192	64	helper	3932160	64	sequential	1	6	1	3247778717039984114	ookay_inclusionpolicy_trial001_exec0032_series03_plot0013_target0000008192_helper_pressure000003932160_helper006_seed03247778717039984114.tsv.gz	complete	0
75	1	33	3	14	8192	64	helper	15728640	64	sequential	1	6	1	13520178282929172937	ookay_inclusionpolicy_trial001_exec0033_series03_plot0014_target0000008192_helper_pressure000015728640_helper006_seed13520178282929172937.tsv.gz	complete	0
76	1	34	1	1	8192	64	self	65536	64	sequential	1	-1	1	2924300919195460283	ookay_inclusionpolicy_trial001_exec0034_series01_plot0001_target0000008192_self_pressure000000065536_helper999_seed02924300919195460283.tsv.gz	complete	0
77	1	35	2	5	8192	64	helper	3932160	64	sequential	1	5	1	16709330152719439242	ookay_inclusionpolicy_trial001_exec0035_series02_plot0005_target0000008192_helper_pressure000003932160_helper005_seed16709330152719439242.tsv.gz	complete	0
78	1	36	7	40	65536	64	helper	62914560	64	sequential	1	6	1	13445627580786951605	ookay_inclusionpolicy_trial001_exec0036_series07_plot0040_target0000065536_helper_pressure000062914560_helper006_seed13445627580786951605.tsv.gz	complete	0
79	1	37	5	25	65536	64	self	62914560	64	sequential	1	-1	1	5420380931505438087	ookay_inclusionpolicy_trial001_exec0037_series05_plot0025_target0000065536_self_pressure000062914560_helper999_seed05420380931505438087.tsv.gz	complete	0
80	1	38	1	3	8192	64	self	15728640	64	sequential	1	-1	1	16727796575364645732	ookay_inclusionpolicy_trial001_exec0038_series01_plot0003_target0000008192_self_pressure000015728640_helper999_seed16727796575364645732.tsv.gz	complete	0
81	1	39	5	24	65536	64	self	15728640	64	sequential	1	-1	1	13783832949867650105	ookay_inclusionpolicy_trial001_exec0039_series05_plot0024_target0000065536_self_pressure000015728640_helper999_seed13783832949867650105.tsv.gz	complete	0
82	1	40	3	16	8192	64	helper	31457280	64	sequential	1	6	1	7264380009376754812	ookay_inclusionpolicy_trial001_exec0040_series03_plot0016_target0000008192_helper_pressure000031457280_helper006_seed07264380009376754812.tsv.gz	complete	0
83	1	41	1	2	8192	64	self	524288	64	sequential	1	-1	1	14180685577000102500	ookay_inclusionpolicy_trial001_exec0041_series01_plot0002_target0000008192_self_pressure000000524288_helper999_seed14180685577000102500.tsv.gz	complete	0
